n [count],α [°],H [mm],DR [ ],f
3,15,90.0,0.8,0.7987987987987988
3,15,90.0,0.8,0.7827827827827828
6,15,90.0,0.8,0.8878878878878879
6,15,90.0,0.8,0.8878878878878879
F,15,90.0,0.8,0.955955955955956
2,30,90.0,0.8,0.6576576576576577
3,30,60.0,0.8,0.8068068068068068
3,30,90.0,0.8,0.7067067067067067
3,30,90.0,0.8,0.7367367367367368
3,30,90.0,0.8,0.7727727727727728
3,30,120.0,0.8,0.6336336336336337
3,30,120.0,0.8,0.6676676676676677
3,30,150.0,0.8,0.5365365365365365
6,30,60.0,0.8,0.9039039039039038
6,30,90.0,0.8,0.7977977977977978
6,30,90.0,0.8,0.8438438438438438
6,30,120.0,0.8,0.7677677677677678
6,30,120.0,0.8,0.8048048048048048
6,30,150.0,0.8,0.7227227227227228
9,30,90.0,0.8,0.9339339339339341
12,30,90.0,0.8,0.94994994994995
F,30,90.0,0.8,0.9829829829829828
2,45,90.0,0.8,0.5395395395395396
3,45,60.0,0.8,0.8198198198198198
3,45,90.0,0.8,0.6636636636636637
3,45,90.0,0.8,0.7087087087087087
3,45,90.0,0.8,0.7367367367367368
3,45,90.0,0.8,0.8188188188188188
3,45,120.0,0.8,0.6216216216216216
3,45,120.0,0.8,0.6506506506506506
3,45,150.0,0.8,0.5295295295295295
6,45,60.0,0.8,0.9439439439439441
6,45,90.0,0.8,0.8018018018018018
6,45,90.0,0.8,0.8528528528528528
6,45,90.0,0.8,0.8978978978978979
6,45,90.0,0.8,0.8808808808808809
6,45,120.0,0.8,0.7827827827827828
6,45,120.0,0.8,0.8088088088088088
6,45,150.0,0.8,0.6536536536536537
9,45,90.0,0.8,0.9139139139139141
9,45,90.0,0.8,0.9389389389389391
12,45,90.0,0.8,0.9439439439439441
12,45,90.0,0.8,0.9689689689689691
F,45,90.0,0.8,0.993993993993994
F,45,90.0,0.8,0.947947947947948
2,60,90.0,0.8,0.4904904904904905
3,60,90.0,0.8,0.7397397397397397
3,60,90.0,0.8,0.8238238238238238
3,60,90.0,0.8,0.7427427427427428
3,60,120.0,0.8,0.6156156156156156
6,60,90.0,0.8,0.8668668668668669
6,60,90.0,0.8,0.9409409409409408
6,60,90.0,0.8,1.0
6,60,120.0,0.8,0.8498498498498499
6,60,150.0,0.8,0.7987987987987988
F,60,90.0,0.8,0.9349349349349351
3,75,90.0,0.8,0.8288288288288288
3,75,120.0,0.8,0.6866866866866866
3,75,150.0,0.8,0.3863863863863864
6,75,90.0,0.8,0.9569569569569568
6,75,120.0,0.8,0.947947947947948
6,75,150.0,0.8,0.8208208208208209
2,90,90.0,0.8,0.40540540540540543
3,90,90.0,0.8,0.5965965965965966
6,90,90.0,0.8,0.7927927927927928
9,90,90.0,0.8,0.8778778778778779
12,90,90.0,0.8,0.8758758758758759
F,90,60.0,0.8,1.0
F,90,60.0,0.8,1.0
F,90,60.0,0.8,1.0
F,90,60.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,150.0,0.8,1.0
F,90,150.0,0.8,1.0
3,30,112.5,0.8,0.7617617617617618
3,60,112.5,0.8,0.6546546546546547
6,60,112.5,0.8,0.8968968968968969
3,30,135.0,0.8,0.7257257257257257
6,30,135.0,0.8,0.8238238238238238
3,60,135.0,0.8,0.6146146146146146
6,60,135.0,0.8,0.8118118118118118
3,30,157.5,0.8,0.6716716716716716
6,30,157.5,0.8,0.7897897897897898
3,60,157.5,0.8,0.5825825825825826
6,60,157.5,0.8,0.7857857857857858
6,30,180.0,0.8,0.7637637637637638
3,60,180.0,0.8,0.5565565565565566
6,60,180.0,0.8,0.7227227227227228
3,30,90.0,0.5,0.7387387387387387
3,30,120.0,0.5,0.5865865865865866
6,30,90.0,0.5,0.8368368368368369
6,30,120.0,0.5,0.7397397397397397
F,30,90.0,0.5,0.984984984984985
3,45,90.0,0.5,0.7137137137137137
3,45,120.0,0.5,0.5295295295295295
6,45,90.0,0.5,0.8558558558558559
6,45,120.0,0.5,0.7747747747747747
F,45,90.0,0.5,0.9349349349349351
3,60,90.0,0.5,0.7237237237237237
6,60,90.0,0.5,0.8318318318318318
F,60,90.0,0.5,0.945945945945946
3,90,90.0,0.5,0.4924924924924925
6,90,90.0,0.5,0.8138138138138138
F,90,60.0,0.5,1.0
F,90,90.0,0.5,0.972972972972973
F,90,90.0,0.5,1.0
F,90,90.0,0.5,1.0
F,90,120.0,0.5,1.0
F,90,120.0,0.5,1.0
F,90,150.0,0.5,1.0
3,30,90.0,0.8,0.7137137137137137
6,30,90.0,0.8,0.8658658658658659
3,45,90.0,0.8,0.6876876876876877
6,45,90.0,0.8,0.8988988988988988
3,60,90.0,0.8,0.7037037037037037
6,60,90.0,0.8,0.9539539539539541
3,75,90.0,0.8,0.7797797797797797
6,75,90.0,0.8,1.0
F,90,60.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,150.0,0.8,1.0
3,30,90.0,0.55,0.6936936936936937
6,30,90.0,0.55,0.8308308308308309
3,45,90.0,0.55,0.7007007007007007
6,45,90.0,0.55,0.8928928928928929
3,60,90.0,0.55,0.6576576576576577
6,60,90.0,0.55,0.9069069069069068
3,75,90.0,0.55,0.7327327327327328
6,75,90.0,0.55,0.947947947947948
F,90,60.0,0.55,1.0
F,90,90.0,0.55,1.0
F,90,90.0,0.55,1.0
F,90,120.0,0.55,1.0
F,90,120.0,0.55,1.0
F,90,150.0,0.55,1.0
3,30,90.0,0.8,0.7237237237237237
6,30,90.0,0.8,0.9129129129129128
3,45,90.0,0.8,0.7687687687687688
6,45,90.0,0.8,0.8668668668668669
3,60,90.0,0.8,0.7957957957957958
6,60,90.0,0.8,0.9429429429429428
3,75,90.0,0.8,0.7957957957957958
6,75,90.0,0.8,1.0
F,90,60.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,90.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,120.0,0.8,1.0
F,90,150.0,0.8,1.0
3,30,112.5,0.8,0.7237237237237237
6,30,112.5,0.8,0.8028028028028028
3,60,112.5,0.8,0.5915915915915916
6,60,112.5,0.8,0.7607607607607607
3,30,135.0,0.8,0.6356356356356356
6,30,135.0,0.8,0.7477477477477478
3,60,135.0,0.8,0.6216216216216216
6,60,135.0,0.8,0.8198198198198198
6,60,135.0,0.8,0.8188188188188188
3,30,157.5,0.8,0.6306306306306306
6,30,157.5,0.8,0.7607607607607607
3,60,157.5,0.8,0.5715715715715716
6,60,157.5,0.8,0.5445445445445446
3,30,180.0,0.8,0.5935935935935935
6,30,180.0,0.8,0.6666666666666666
3,60,180.0,0.8,0.3633633633633634
6,60,180.0,0.8,0.5125125125125125
